Model,Precision,Recall,F1,MCC,PR-AUC,ROC-AUC,False Alarms / 1000,TN,FP,FN,TP,Threshold
OPSSAT Isolation Forest,0.4444444444444444,0.46017699115044247,0.45217391304347826,0.3001329098222038,0.45897339353100136,0.7285568413886998,156.25,351,65,61,52,40.0
OPSSAT Supervised Random Forest,0.9528301886792453,0.8938053097345132,0.9223744292237442,0.9028716343319871,0.9688142956336255,0.988321136827774,12.01923076923077,411,5,12,101,49.5
OPSSAT Hybrid,0.956989247311828,0.7876106194690266,0.8640776699029126,0.8376799200428618,0.9382557373334678,0.9712708475153166,9.615384615384617,412,4,24,89,49.0
